NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Perbadanan Perpustakaan Awam Negeri Selangor,3.08925,101.53325,Perbadanan Perpustakaan Awam Negeri Selangor,"Perbadanan Perpustakaan Awam Selangor Jalan Kelab Golf 13/6, 40100 Shah Alam, Selangor",0355197667,0355104264,info@ppas.org.my,http://www.ppas.gov.my/,http://www.facebook.com/PPAS.My.Second.Home,,http://twitter.com/selangorLibrary,,,,
Perbadanan Perpustakaan Awam Negeri Sembilan,2.718592,101.94898790000002,Perbadanan Perpustakaan Awam Negeri Sembilan,"Perbadanan Perpustakaan Awam Negeri Sembilan, Jalan Dato Sheikh Ahmad, 70000, Seremban,Negeri Sembilan.",06-7635989,06-7635944,webmaster@nslibrary.gov.my,http://nslibrary.gov.my/,,,,,,,
Perbadanan Perpustakaan Awam Negeri Terengganu,5.311737,103.119912,Perbadanan Perpustakaan Awam Negeri Terengganu,"Jalan Kemajuan, Padang Hiliran, 21572 Kuala Terengganu, Terengganu Darul Iman",09-622 1100,609-622 1534,ppat@trglib.gov.my,http://www.trglib.gov.my/,,,,,,,
Perbadanan Perusahaan Kecil dan Sederhana Malaysia (SME Corp.),3.134078,101.686304,Perbadanan Perusahaan Kecil dan Sederhana Malaysia (SME Corp.),"Level 6, SME 1, Block B, Platinum Sentral, Jln Stesen Sentral 2, Kuala Lumpur Sentral 50470 Kuala Lumpur",0327756000,0327756001,info@smecorp.gov.my,http://www.smecorp.gov.my,http://www.facebook.com/#!/profile.php?id=100000895990829&ref=ts,,,,,http://www.smecorp.gov.my/rss.xml,
Perbadanan Pinjaman Sabah,5.879359,116.10398480000003,Perbadanan Pinjaman Sabah,Wisma PPS Donggongon New Township 89500 Penampang Sabah,088-323888,088-718181,pps_scc@sabahcredit.com.my,http://www.sabahcredit.com.my/,,,,,,,
Perbadanan Produktiviti Malaysia (MPC),3.1003,101.644697,Perbadanan Produktiviti Malaysia (MPC),"Malaysia Productivity Corporation (MPC), Lorong Produktiviti, Off Jalan Sultan, 46200 Petaling Jaya, Selangor",603-7955 7266,603-7957 8068,marketing@mpc.gov.my,http://www.mpc.gov.my,http://www.facebook.com/MPCHQ?ref=ts,,,,,http://www.mpc.gov.my/home/index.php?cont=c12&item=12i1&sstr_lang=bm&t=3,
Perbadanan Putrajaya,2.917684,101.683915,Perbadanan Putrajaya,"Kompleks Perbadanan Putrajaya,24, Persiaran Perdana,Presint 3,",603 8887 7000,603 8887 5000,ppjonline@ppj.gov.my,http://www.ppj.gov.my/,http://www.facebook.com/putrajaya,,https://twitter.com/putrajayacorp,,,http://portal.ppj.gov.my/web/guest/143/-/journal/rss/10124/136691,
Perbadanan Stadium Darul Makmur,3.824973,103.32389990000001,Perbadanan Stadium Darul Makmur,"Tingkat 2, Stadium Darul Makmur, Jalan Dato' Lim Hoe Lek, 25200 Kuantan, Pahang",609-5142637,609-5133554,techno_klu@yahoo.com,http://psdm.pahang.gov.my/,,,,,,,
Perbadanan Stadium Malaysia,3.06154,101.68703000000005,Perbadanan Stadium Malaysia,"Perbadanan Stadium Malaysia Aras 1, Stadium Nasional, Kompleks Sukan Negara Bukit Jalil, 57700 Sri Petaling, Kuala Lumpur",603-8992 0888,603-8994 4663,admin@stadium.gov.my,http://www.stadium.gov.my/,,,,,,,
Perbadanan Stadium Melaka,2.205685,102.256155,Perbadanan Stadium Melaka,Stadium Hang Jebat Kompleks Sukan Hang Jebat Paya Rumput 75260 Melaka,06-3364517,06-3372786,stadium@melaka.gov.my,http://www.stadiummelaka.gov.my/,,,,,,,
Perbadanan Stadium Negeri Sarawak,1.530976,110.34421989999998,Perbadanan Stadium Negeri Sarawak,"d/a Stadium Perpaduan, Jalan Stadium,Petra Jaya, 93050 Kuching, Sarawak",082-442264/442286,082-441420,stdkch@sarawak.gov.my,http://www.stadiumcorp.sarawak.gov.my/,,,,,,,
Perbadanan Tabung Pembangunan Kemahiran,3.169293,101.691086,Perbadanan Tabung Pembangunan Kemahiran,"Aras 15,16,17,18,19 dan 27 Menara Dato' Onn Pusat Dagangan Dunia Putra (Putra World Trade Centre) No 45, Jalan Tun Ismail 50480 Kuala Lumpur",0340476200,0340476142,"",http://www.ptpk.gov.my,http://www.facebook.com/ptpkonline,,http://twitter.com/#!/PTPKOnline,http://ptpkonline.blogspot.com/,,,
Perbadanan Tabung Pendidikan Tinggi Nasional (PTPTN),3.15275,101.666488,Perbadanan Tabung Pendidikan Tinggi Nasional (PTPTN),"Lot G2, Tingkat Bawah, Wisma Chase Perdana, Off Jalan Semantan, Damansara Heights, 50490 Kuala Lumpur",0320804455,0320921590,webmaster@ptptn.gov.my,https://ptptn-online.malaysia.gov.my,,,,,,,
Perbadanan Taman Negara Johor,1.45774,103.76180099999999,Perbadanan Taman Negara Johor,"Perbadanan Taman Negara, JKR 475, Jalan Bukit Timbalan, 80503 Johor Bahru, Johor.",607-224 2525,607-223 7472,jpnc@johorpark.com,http://www.johorparks.johordt.gov.my/,,,,,,,
Perbadanan Urusan Kejuruteraan dan Limbungan Brooke,1.586914,110.41692799999998,Perbadanan Urusan Kejuruteraan dan Limbungan Brooke,"Pengurus Besar Perbadanan Urusan Kejuruteraan dan Limbungan Brooke, Kampung Sejingat, Jalan Bako, P.O.Box 370, 93706 Kuching, Sarawak",6082-439732,6082 - 439736,general@brookedockyard.com,http://www.brookedockyard.com/,,,,,,,
Perbadanan Usahawan Nasional Berhad (PUNB),3.134522,101.686231,Perbadanan Usahawan Nasional Berhad (PUNB),"10th Floor, Block 1B Plaza Sentral Jalan Stesen Sentral 5, KL Sentral 50470 Kuala Lumpur",0327851515,0327802100,corp_comm@punb.com.my,http://www.punb.com.my,,,,,,,
Perbendaharaan Malaysia Sabah,5.957241,116.06636700000001,Perbendaharaan Malaysia Sabah,"PERBENDAHARAAN MALAYSIA SABAH (KEMENTERIAN KEWANGAN MALAYSIA) Tingkat 2 Rumah Persekutuan, Jalan Mat Salleh, 88592 Kota Kinabalu, Sabah.",088-243993,088-240020,pmsbh@treasury.gov.my,http://pmsabah.treasury.gov.my/,,,,,,,
Perbendaharaan Malaysia Sarawak,1.5330214,110.35909300000003,Perbendaharaan Malaysia Sarawak,"PERBENDAHARAAN MALAYSIA SARAWAK Tingkat 16, Bangunan Sultan Iskandar, Jalan Simpang Tiga, 93592 Kuching, Sarawak.",6082-421333 / 421755,6082-424489,pmswk@treasury.gov.my,http://pmsarawak.treasury.gov.my/,,,,,,,
Perbendaharaan Negeri Johor,1.501371,103.64386,Perbendaharaan Negeri Johor,"Perbendaharaan Negeri Johor Aras 2, Bangunan Dato' Jaafar Muhammad Pusat Pentadbiran Kota Iskandar 79592 Nusajaya Johor",07-266 6566,07-266 6567,perbendaharaan@johor.gov.m,http://pnj.johordt.gov.my/,,,,,,,
Perbendaharaan Negeri Selangor,3.083333,101.51527799999997,Perbendaharaan Negeri Selangor,"Tingkat 2,8-12, Bangunan Sultan Salahuddin Abdul Aziz Shah 40592, Shah Alam Selangor, Malaysia",03-5544-7000,03-5510-6255,pwn_helpdesk@selangor.gov.my,http://pwn.selangor.gov.my/,https://www.facebook.com/pages/Perbendaharaan-Negeri-Selangor/398158350251257,,,,,,
Permata Negara,2.92339,101.656209,Permata Negara,"W101, Aras 1, Blok 3440, Enterprise Building 1, Jalan Teknokrat 3, 63000 Cyberjaya. Selangor",0383194000,0383194001,"",http://www.permata.jpm.my/,,,,,,,
Perolehan Kerajaan Malaysia (e-Perolehan),2.924783,101.688116,Perolehan Kerajaan Malaysia (e-Perolehan),"ePerolehan Centre Ministry Of Finance, Putrajaya Unit Pendaftaran Syarikat, Ground Floor, North Block, Kompleks Kementerian Kewangan, Precint 2, Pusat Pentadbiran Kerajaan Persekutuan, 62592 Putrajaya",0379857888,0377871001,bantuanptj@eperolehan.gov.my,http://home.eperolehan.gov.my/,,,,,,,
Perpustakaan Negeri Sabah,5.960177,116.07924200000002,Perpustakaan Negeri Sabah,"Jalan Tasik, Off Jalan Maktab Gaya,88300 Kota-Kinabalu.","088 - 214828, 231623",088 - 230714,hq.ssl@sabah.gov.my,http://www.ssl.sabah.gov.my/,,,,,,,
Pertubuhan Berita Nasional Malaysia (BERNAMA),3.171416,101.712214,Pertubuhan Berita Nasional Malaysia (BERNAMA),"Wisma BERNAMA, No. 28, Jalan 1/65A, Off Jalan Tun Razak, 50400 Kuala Lumpur",603-2693 9933,603-2698 9968,helpdesk@bernama.com,http://www.bernama.com,https://www.facebook.com/pages/BERNAMA/188457585554,,http://twitter.com/#!/bernamadotcom,,,,
Pertubuhan Keselamatan Sosial (PERKESO),3.160131,101.734787,Pertubuhan Keselamatan Sosial (PERKESO),"Pertubuhan Keselamatan Sosial, Menara PERKESO, 281, Jalan Ampang, 50538 Kuala Lumpur",1-300-22-8000,0342567798,perkeso@perkeso.gov.my,http://www.perkeso.gov.my/,,,,,,,
Pertubuhan Peladang Negeri Sarawak,1.53017,110.34642200000008,Pertubuhan Peladang Negeri Sarawak,"State Farmers' Organisation, Wisma Pertubuhan Peladang, Dusun Road, Off Jalan Ong Tiang Swee, 93200 Kuching, Sarawak",082-420162,082-424564,ppsfo@pd.jaring.my,http://www.peladang.sarawak.gov.my/,,,,,,,
Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah (RISDA),3.159488,101.745873,Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah (RISDA),"Ibu Pejabat RISDA, Bangunan RISDA Km7,Jalan Ampang, Karung Berkunci 11067, 50990 Kuala Lumpur",603-4256 4022,603-4257 6726,webmaster@risda.gov.my,http://www.risda.gov.my,https://www.facebook.com/www.risda.gov.my,,,http://www.risda.gov.my/web/guest/blog-risda,,http://www.risda.gov.my/web/guest/897,http://www.youtube.com/user/RISDAofficial
Pihak Berkuasa Peranti Perubatan (PBPP),2.906768,101.68160699999999,Pihak Berkuasa Peranti Perubatan (PBPP),"Aras 5, Menara Prisma No. 26, Jalan Persiaran Perdana, Presint 3 62675 Putrajaya WP Putrajaya",603-8892 2400,603-8892 2500,mdb@mdb.gov.my,http://www.mdb.gov.my/,,,,,,,
Pihak Berkuasa Tempatan Taman Perindustrian Hi-Tech Kulim,5.4211049,100.59150720000002,Pihak Berkuasa Tempatan Taman Perindustrian Hi-Tech Kulim,"Lot 01-02 Administrative Centre, Kulim Hi-Tech Park, 09000 Kulim, Kedah Darul Aman.",04-4032266,04-4032277,admin@pbttphtk.gov.my,http://www.pbttphtk.gov.my/,,,,,,,
Polis Diraja Malaysia (PDRM),3.148034,101.691888,Polis Diraja Malaysia (PDRM),"Ibu Pejabat Polis Diraja Malaysia, 50560 Bukit Aman, Kuala Lumpur.",603-2262 6310,603-2272 2710,rmp@rmp.gov.my,http://www.rmp.gov.my/,https://www.facebook.com/PolisDirajaMalaysia,,https://twitter.com/PDRMsia,,,http://www.rmp.gov.my/filebase/mainhtm/beritarss-1.xml,http://www.youtube.com/user/pdrmsia
Politeknik Balik Pulau,5.367127,100.30887110000003,Politeknik Balik Pulau,"Politeknik Balik Pulau, Peti Surat No.73, 11700 Gelugor, Pulau Pinang.",04-6381926,04-6410219,polibalikpulau@pbu.edu.my,http://www.pbu.edu.my/pbuv4/,,,,,,,
Politeknik Banting,2.809509,101.50415499999997,Politeknik Banting,"Politeknik Banting Selangor Persiaran Ilmu, Jalan Sultan Abdul Samad, 42700 Banting, Selangor Darul Ehsan",03-3120 1625,03-3120 1706,admin@polibanting.edu.my,http://www.polibanting.edu.my/,,,,,,,
Politeknik Hulu Terengganu,5.069146,102.997071,Politeknik Hulu Terengganu,"Politeknik Hulu Terengganu Bangunan Kedai Tiga Tingkat, Majlis Daerah Hulu Terengganu, 21700 Kuala Berang, Terengganu",09-682 5555,09-682 5556,webmaster@pht.edu.my,http://pht.edu.my/,https://www.facebook.com/PoliHuluTrg,,https://twitter.com/PoliHuluTrg,,,,
Politeknik Ibrahim Sultan,1.491226,103.788986,Politeknik Ibrahim Sultan,"Politeknik Ibrahim Sultan, KM 10, Jln Kong Kong, 81700 Pasir Gudang, Johor Darul Takzim, MALAYSIA.",+607-2612488,+607-2612402,webmaster@pis.edu.my.,http://www.pis.edu.my,,,,,,,
Politeknik Jeli,05.777234,101.865005,Politeknik Jeli,"Politeknik Jeli, Jalan Raya Timur - Barat, 17600 Jeli, Kelantan",09-9462800 / 801,09-9462802,info@pjk.edu.my,http://www.pjk.edu.my,,,,,,,
Politeknik Kota Bharu,5.941851,102.235908,Politeknik Kota Bharu,"Politeknik Kota Bharu, Km 24, Kok Lanas,16450 Ketereh, Kelantan.",09-7889126/344/641,09-7888739,webmaster@pkb.edu.my,http://www.pkb.edu.my,,,,,,,
Politeknik Kota Kinabalu,6.100018,116.162982,Politeknik Kota Kinabalu,"Politeknik Kota Bharu Jalan Politeknik, 88450 Kota Kinabalu Sabah.",088-499980,088-499960,webmaster@polikk.edu.my,http://www.pkksabah.edu.my,,,,,,,
Politeknik Kuala Terengganu,5.3301006,103.13554590000001,Politeknik Kuala Terengganu,"Jalan Sultan Ismail, Kuala Terengganu, 24000 Kuala Terengganu, Terengganu, Malaysia",09-6204100,09-6204102,info@pkkt.edu.my,http://www.pkt.edu.my/,http://www.facebook.com/people/Politeknik-Kota-Kuala-Terengganu/100001006944083,,,,,http://www.pkkt.edu.my/j159/index.php?format=feed&type=rss,
"Politeknik Kuching,Sarawak",1.638456,110.194874,"Politeknik Kuching,Sarawak.","Politeknik Kuching Km. 22, Jalan Matang 93050 Kuching, Sarawak",082-845 596,082-845 023,webmaster@poliku.edu.my,http://www.poliku.edu.my,,,,,,,
Politeknik Melaka,2.234979,102.225351,Politeknik Melaka,"Politeknik Melaka, No.2, Jalan PPM 10, Plaza Pandan Malim, 75250 Melaka.",606-337 6000,606-337 6007,webmaster@polimelaka.edu.my,http://www.polimelaka.edu.my/,,,,,,,
Politeknik Merlimau,2.170311,102.427239,Politeknik Melaka,"Politeknik Merlimau Karung Berkunci 1031, Pejabat Pos Merlimau, 77300 Merlimau, Melaka.",06-2636687,06-2636678,webmaster@pmm.edu.my,http://www.pmm.edu.my/,,,,,,,
Politeknik Mersing Johor (PMJ),2.431711,103.837488,Politeknik Mersing Johor,"Politeknik Mersing Johor, Jalan Nitar 86800 Mersing, Johor Darul Ta'zim.",07 - 7980001,07 - 7980002,webmaster@pmj.edu.my,http://www.pmj.edu.my/,,,,,,,
Politeknik Muadzam Shah (PMS),3.098864,103.084517,Politeknik Muadzam Shah,Lebuhraya Tun Abdul Razak Muadzam Shah Pahang 26700 Malaysia,09-4502005/2006/2007,09-4502009,Administrator@pms.edu.my,http://www.pms.edu.my,,,,,,,
Politeknik Mukah Sarawak (PMU),2.883037,112.020664,Politeknik Mukah Sarawak,"Politeknik Mukah Sarawak, KM 7.5, Jalan Oya, 96400 Mukah,Sarawak.",084-874001,084-874005,webmaster@pmu.edu.my,http://www.pmu.edu.my/v2/,,,,,,,
Politeknik Nilai,2.744245,101.772094,Politeknik Nilai,"Politeknik Nilai, Kompleks Pendidikan Bandar Enstek, 71760 Bandar Enstek, Negeri Sembilan",+606-7980400,+606-7911269,webmaster@polinilai.edu.my,http://www.polinilai.edu.my/v2/index.php,,,,,,,
Politeknik Port Dickson,2.445239,101.865703,Politeknik Port Dickson,"Politeknik Port Dickson, Km.14 Jalan Pantai, 71050 Si Rusa, Port Dickson,Negeri Sembilan",06-662 2000/2111,06-662 2026/2027,"webmaster@polipd.edu.my,pro@polipd.edu.my",http://www.polipd.edu.my,,,,,,,
Politeknik Sandakan,5.897286,118.003964,Politeknik Sandakan,"Polyteknik Sandakan Sabah Education Hub,Batu 10, Jalan Sungai Batang, 90000 Sandakan, Sabah.",089-228351,089-22832,webmaster@pss.edu.my,http://www.pss.edu.my/v3/index.php/en/,,,,,,,
Politeknik Seberang Perai,5.374629,100.424466,Politeknik Seberang Perai,"Politeknik Seberang Perai Jalan Permatang Pauh, 13500 Permatang Pauh Pulau Pinang,",04-5383322,04-5389266,webmaster@psp.edu.my,http://www.psp.edu.my/pspweb/,,,,,,,
Politeknik Sultan Abdul Halim Mu'adzam Syah (POLIMAS),6.267139,100.427116,Politeknik Sultan Abdul Halim Mu'adzam Syah (POLI,"Politeknik Sultan Abdul Halim Mu'adzam Shah(POLIMAS), Bandar Darulaman, 06000 Jitra, Kedah Darulaman.",04-9146100,04-9174232 / 04-9146,"webmaster@polimas.edu.my,aduan@polimas.edu.my",http://www.polimas.edu.my,,,,,,,
Politeknik Sultan Azlan Shah,6.251952,100.431125,Politeknik Sultan Azlan Shah,"Politeknik Sultan Azlan Shah, Behrang Stesyen, 35950 Behrang, Perak.",605-4544431,605-4544993,webmaster@psas.edu.my,http://www.psas.edu.my/v7/,http://www.facebook.com/pages/Politeknik-Sultan-Azlan-Shah/417242969011,,,,,http://www.psas.edu.my/portalv9/index.php?format=feed&type=rss,
Politeknik Sultan Haji Ahmad Shah (POLISAS),3.86768,103.318934,Politeknik Sultan Haji Ahmad Shah(POLISAS),"Politeknik Sultan Haji Ahmad Shah, Semambu, 25350 Kuantan, Pahang.",09-5655300,09-5663104,hazlindaghazali@polisas.edu.my,http://www.polisas.edu.my,http://www.facebook.com/people/Polisas-Pahang/100002117752404,,http://twitter.com/#!/POLISASPAHANG,,,http://www.polisas.edu.my/web2010/index.php/en/component/content/article/188.html,
Politeknik Sultan Idris Shah Sabak Bernam (PSIS),3.845072,100.824051,Politeknik Sultan Idris Shah Sabak Bernam(PSIS),"Sungai Lang, 45100 Sungai Air Tawar, Selangor",03-32806200,03-32806400,pro@psis.edu.my,http://www.psis.edu.my/,,,,,,,
Politeknik Sultan Mizan Zainal Abidin,4.711229,103.402287,Politeknik Sultan Mizan Zainal Abidin,"Km 8, Jalan Paka, 23000 Dungun, Terengganu Darul Iman.",09-8400800,09-8458781,webmaster@psmza.edu.my,http://www.psmza.edu.my/ms/,,,,,,,
Politeknik Sultan Salahuddin Abdul Aziz Shah (PSA),3.085944,101.55742,Politeknik Sultan Salahuddin Abdul Aziz Shah (PSA),"Politeknik Sultan Salahuddin Abdul Aziz Shah, Persiaran Usahawan, Seksyen U1, 40150 Shah Alam, Selangor Darul Ehsan",+603 5163 4000,+603 5569 1903,webmaster@psa.edu.my,http://www.psa.edu.my/,http://www.facebook.com/pssaas,,https://twitter.com/@polishahalam,,http://www.flickr.com/photos/pssaas/,,http://www.youtube.com/user/polishahalam
Politeknik Tuanku Sultanah Bahiyah,5.388425,100.575352,Politeknik Tuanku Sultanah Bahiyah,"Politeknik Tuanku Sultanah Bahiyah Kulim Hi-Tech Park 09000 Kulim, Kedah Malaysia",604-403 3333,604-403 3033,"marlina@ptsb.edu.my,aizam@ptsb.edu.my",http://www.ptsb.edu.my,,,,,,,
Politeknik Tuanku Syed Sirajuddin,6.449947,100.337446,Politeknik Tuanku Syed Sirajudin,"Politeknik Tuanku Syed Sirajuddin Pauh Putra, 02600 Arau Perlis Indera Kayangan",04-988 6200,04-988 6300,"aduan@ptss.edu.my,info@ptss.edu.my",http://www.ptss.edu.my/,,,,,,,
Politeknik Ungku Omar (PUO),4.589824,101.125669,Politeknik Ungku Omar(PUO),"Politeknik Ungku Omar, Jalan Raja Musa Mahadi, 31400,Ipoh, Perak Darul Ridzuan",+605-545 7622/7656,+606-547 1162,webmaster@puo.edu.my,http://www.puo.edu.my/,,,,,,,
Portal 1Klik,3.139003,101.686855,Portal 1Klik,"Kompleks Sultan Abdul Samad, Jalan Raja 50610 Kuala Lumpur, Malaysia.",603-2612 7600,603-2693 5114,-,http://pmr.penerangan.gov.my/,,,,,,,
Portal Gaji Minimum,2.93804,101.70524999999998,Portal Gaji Minimum,"Sekretariat Majlis Perundingan Gaji Negara Kementerian Sumber Manusia Aras 7, Blok D3, Kompleks D, Pusat Pentadbiran Kerajaan Persekutuan 62530 Putrajaya",03-8886 5156,03-88892377,minimumwages@mohr.gov.my,http://minimumwages.mohr.gov.my/,,,,,,,
Portal MyHEALTH,2.942192,101.706925,Portal MyHEALTH,"Unit Health Online, Bahagian Pendidikan Kesihatan, Kementerian Kesihatan Malaysia, Aras 1-3, Blok E10, Kompleks E, Kompleks Pentadbiran Kerajaan Persekutuan, 62590 Putrajaya",0388834555,0388894406,myhealth@moh.gov.my,http://www.myhealth.gov.my,,,,,,,
Pusat Darah Negara,3.173109,101.706382,Pusat Darah Negara,"Pusat Darah Negara, Jalan Tun Razak, 50400 Kuala Lumpur",+603 2613 2688,+603 2698 0362,-,http://www.pdn.gov.my,,,,,,,
Pusat Hidrografi Nasional (PHN),2.9490389,101.33176049999997,Pusat Hidrografi Nasional (PHN),"Bandar Armada Putra, Pulau Indah, 42009 Port Klang, Selangor, Malaysia",603-31694 400,603-3101 3111,nhc@hydro.gov.my,http://www.hydro.gov.my/,,,,,,,
Pusat Infrastruktur Data Geospatial Negara (MaCGDI),2.914453,101.68513210000003,Pusat Infrastruktur Data Geospatial Negara (MaCGDI),"Level 7 & 8, Wisma Sumber Asli, No. 25, Persiaran Perdana, Presint 4, 62574, Putrajaya, Malaysia",603-8000 8000,603-8889 4851,webmaster@macgdi.gov.my,http://www.mygeoportal.gov.my/,,,,,,,
Pusat Kepelbagaian Biologi Sarawak,1.530976,110.34421989999998,Pusat Kepelbagaian Biologi Sarawak,"KM20, Jalan Borneo Heights, Semengoh Locked Bag No. 3032, 93990 Kuching Sarawak.",082 - 610610,082 - 611535,biosar@sbc.org.my,http://www.sbc.org.my/,,,,,,,
Pusat Khidmat Kontraktor,2.921534,101.685051,Pusat Khidmat Kontraktor,"Pusat Khidmat Kontraktor, Kementerian Kerja Raya Malaysia, Aras 5, Blok Menara, Menara Usahawan, No. 18, Persiaran Perdana, Persint 2, 62652 Putrajaya",0388805200,0388805204,pkkfeedback@kkr.gov.my,http://pkk.kkr.gov.my,https://www.facebook.com/pusatkhidmatkontraktor.kkr?sk=wall,,,,,http://pkk.kkr.gov.my/rssfeed,
Pusat Kutipan Zakat Pahang,3.805721,103.32648,Pusat Kutipan Zakat Pahang,"No.111A, Tingkat 1 Bangunan MUIP Jalan Mahkota 25000 Kuantan Pahang Darul Makmur",09-5171985,09-5152541,info@zakatpahang.my,http://www.zakatpahang.my/,,,,,,,
Pusat Latihan Pengajar & Kemahiran (CIAST),3.051653,101.52857599999993,Pusat Latihan Pengajar & Kemahiran (CIAST),"Jalan Petani 19/1 Seksyen 19, 40900 Shah Alam Selangor Darul Ehsan Malaysia",603-55438200,603-55438398,info@ciast.gov.my,http://www.ciast.gov.my,,,,,,,
Pusat Pembangunan Kemahiran Pahang (PSDC),3.824973,103.32389990000001,Pusat Pembangunan Kemahiran Pahang (PSDC),"Kampus PSDC, Taman Perindustrian Semambu, 25350 Kuantan, Pahang Darul Makmur.",609-5673200,09-5673192,psdc@psdc.gov.my,http://www.psdc.gov.my/,,,,,,,
Pusat Penyelidikan Klinikal,3.172319,101.700479,Pusat Penyelidikan Klinikal,"Clinical Research Centre Level 3, Dermatology Block, Kuala Lumpur Hospital, Jalan Pahang, 50586 Kuala Lumpur.",603-2692 4249 / 603-2691 1486 / 603-2698 0310,603-2691 1682,contact@crc.gov.my,http://www.crc.gov.my,,,,,,,
"Pusat Penyelidikan Perhutanan Sepilok, Sabah",5.84561,118.05705609999995,"Pusat Penyelidikan Perhutanan Sepilok, Sabah","P.O. Box 1407, 90715 Sandakan Sabah Malaysia",+60-89-531522/3/4,+60-89-531068,frcsabah@sabah.gov.my,http://www.sabah.gov.my/htan_frc/,,,,,,,
Pusat Pergigian Kanak-Kanak dan Kolej Latihan Pergigian Malaysia,5.418762,100.30818499999998,Pusat Pergigian Kanak-Kanak dan Kolej Latihan Pergigian Malaysia,"Pusat Pergigian Kanak-Kanak dan Kolej Latihan Pergigian Malaysia, No. 3, Jalan Sepoy Lines, Georgetown, Pulau Pinang.",604-229 9233,604-229 6313,ppkkklpm@ppkk.moh.gov.my,http://ppkkklpm.moh.gov.my/,,,,,,,
Pusat Perubatan Universiti Kebangsaan Malaysia (PPUKM),3.1056379,101.72533420000002,Pusat Perubatan Universiti Kebangsaan Malaysia (PPUKM),"Pusat Perubatan Universiti Kebangsaan Malaysia Jalan Yaacob Latif Bandar Tun Razak 56000 Cheras, Kuala Lumpur Malaysia.",603-9145 5555,603-9145 6640,prohukm@ppukm.ukm.edu.my,http://www.ppukm.ukm.my,,,,,,,
Pusat Perubatan Universiti Kebangsaan Malaysia (PPUKM),3.033163,101.765063,Pusat Perubatan Universiti Kebangsaan Malaysia (PPUKM),"Jalan Yaacob Latif Bandar Tun Razak 56000 Cheras, Kuala Lumpur Malaysia.",603-9145 5555,603-9145 6640,prohukm@ppukm.ukm.edu.my,http://www.ppukm.ukm.my/,,,,,,,
Pusat Perubatan Universiti Malaya (PPUM),3.113123,101.652695,Pusat Perubatan Universiti Malaya,"Pusat Perubatan Universiti Malaya, Lembah Pantai, 59100, Kuala Lumpur",03-79494422,03-79562253,ummc@ummc.edu.my,http://www.ummc.edu.my,,,,,,,
Pusat Pungutan Zakat (PPZ),3.124292,101.736632,Pusat Pungutan Zakat (PPZ),"Wisma PPZ 68-1-6 Dataran Shamelin, Jalan 4/91, Taman Shamelin Perkasa, 56100 Kuala Lumpur.",03-9289 5757,03-9289 5758,info@zakat.com.my,http://www.zakat.com.my/,https://www.facebook.com/myzakat,,https://twitter.com/ppzwp,,,,http://www.youtube.com/infozakat
Pusat Pungutan Zakat Wilayah Persekutuan,3.141072,101.69014100000004,Pusat Pungutan Zakat Wilayah Persekutuan,"Majlis Agama Islam Wilayah Persekutuan, Tingkat 2, Menara Pusat Islam Malaysia, Jalan Perdana, 50519 Kuala Lumpur",+603 9289 5757,+603 9289 5758,info@zakat.com.my,http://www.zakat.com.my/,,,,,,,
Pusat Rekod Arkib Negeri Sabah,5.264971,116.32825690000004,Pusat Rekod Arkib Negeri Sabah,"Pusat Rekod Arkib Negeri Sabah Rumah Kedai Jalan CIMB Bank Peti Surat 2574 keningau, Sabah Malaysia",087-339729,087-339729,seti.malibin@sabah.gov.my,http://www.sabah.gov.my/ark.kgu/,,,,,,,
Pusat Sains Negara,3.147656,101.645226,Pusat Sains Negara,"Pusat Sains Negara Kementerian Sains, Teknologi dan Inovasi Persiaran Bukit Kiara 50662 Bukit Kiara, Kuala Lumpur",603-2089 3400,603-2089 3401,psn@psn.gov.my,http://www.psn.gov.my/,,,,,,,
Pusat Serantau Asia Tenggara Bagi Mencegah Keganasan (SEARCCT),3.141167,101.683168,Pusat Serantau Asia Tenggara Bagi Mencegah Keganasan (SEARCCT),"No. 516, Persiaran Mahameru, Tasik Perdana, Kuala Lumpur",603-2261 1900,603-2274 9487,info@searcct.gov.my,http://www.searcct.gov.my,http://www.facebook.com/searcctkln,,https://twitter.com/#!/SEARCCT,,,,
Pusat Tenaga Malaysia,,,Pusat Tenaga Malaysia,"No.2, Jalan 9/10, Persiaran Usahawan,Seksyen 9",603-89210800,603-89210801/0802,info@ptm.org.my,"",,,,,,,
Pusat Zakat Melaka,2.222157,102.275548,Pusat Zakat Melaka,"No 1 & 3, Jalan KPAA 1, Kompleks Perniagaan Al-Azim, 75150 Bukit Baru, Melaka",1300-88-0233,06-2818154,pusatzakatmelaka@yahoo.com,http://www.izakat.com/,,,,,,,
Pusat Zakat Negeri Sembilan,2.724822,101.953757,Pusat Zakat Negeri Sembilan,"Pusat Zakat Negeri Sembilan No 25, Betaria Business Centre, Jalan Durian Emas 4, Off Jalan Dato' Siamang Gagap, 70100 Seremban, Negeri Sembilan.",606-765 1402,606-765 1407,info@zakatns.com,http://www.zakatns.com.my/,,,,,,,
